"Population Change Components by County, statistical indicator and Year"

" "," ","1881","1891","1901","1911","1926","1936","1946","1951","1956","1961","1966","1971","1979","1981","1986","1991","1996","2002","2006","2011"
"State"
" ","Births since last Census (Number)",1036682,835072,737934,713709,968742,583502,602095,329270,312517,302816,312709,312796,548413,146224,333457,277546,249455,324147,245156,367191
" ","Deaths since last Census (Number)",718125,639073,588391,534305,731409,420323,428297,201295,178083,170736,166443,164644,267378,65991,164336,158300,157389,186912,113842,141079
" ","Natural Increase since last Census (Number)",318557,195999,149543,179404,237333,163179,173798,127975,134434,132080,146266,148152,281035,80233,169121,119246,92066,137235,131314,226112
" ","Change in Population since last Census (Number)",-183167,-401326,-246871,-82135,-167696,-3572,-13313,5486,-62329,-79923,65661,94246,389969,75188,97238,-14924,100368,291116,322645,348404
" ","Net Migration since last Census (Number)",-501724,-597325,-396414,-261539,-405029,-166751,-187111,-122489,-196763,-212003,-80605,-53906,108934,-5045,-71883,-134170,8302,153881,191331,122292
" ","Birth Rate since last Census (Avg Annual Rate per 1000)",26.2,22.8,22.1,22.4,21.1,19.6,20.3,22.3,21.3,21.2,21.9,21.3,21.6,21.5,19.1,15.7,14.0,14.3,15.0,16.6
" ","Death Rate since last Census (Avg Annual Rate per 1000)",18.1,17.4,17.6,16.8,16.0,14.2,14.5,13.6,12.2,11.9,11.7,11.2,10.5,9.7,9.4,9.0,8.8,8.3,7.0,6.4
" ","Rate of Natural Increase since last Census (Avg Annual Rate per 1000)",8.0,5.3,4.5,5.6,5.2,5.5,5.9,8.7,9.2,9.2,10.3,10.1,11.1,11.8,9.7,6.8,5.1,6.1,19.8,10.2
" ","Rate of Change in Population since last Census (Avg Annual Rate per 1000)",-4.6,-10.9,-7.4,-2.6,-3.7,-0.1,-0.4,0.4,-4.3,-5.6,4.6,6.4,15.4,11.0,5.6,-0.8,5.6,12.9,8.0,15.8
" ","Rate of Net Migration since last Census (Avg Annual Rate per 1000)",-12.7,-16.3,-11.9,-8.2,-8.8,-5.6,-6.3,-8.3,-13.4,-14.8,-5.7,-3.7,4.3,-0.7,-4.1,-7.6,0.5,6.8,11.7,5.5
"Leinster"
" ","Births since last Census (Number)",331716,291151,269072,269940,383768,250481,277696,154139,152760,153487,165121,168060,293758,78511,177152,149371,136702,182058,138889,208612
" ","Deaths since last Census (Number)",275737,254834,239399,219462,302183,174879,180349,83878,74300,72634,72412,72131,119007,30050,74363,73375,74024,89113,55130,69704
" ","Natural Increase since last Census (Number)",55979,36317,29673,50478,81585,75602,97347,70261,78460,80853,92709,95929,174751,48461,102789,75996,62678,92945,83759,138908
" ","Change in Population since last Census (Number)",-60462,-91229,-38953,9215,-12952,71319,60706,55459,2461,-6793,82266,83725,245721,46660,62128,8300,63753,180877,189544,209691
" ","Net Migration since last Census (Number)",-116441,-127546,-68626,-41263,-94537,-4283,-36641,-14802,-75999,-87646,-10443,-12204,70970,-1801,-40661,-67696,1075,87932,105785,70783
" ","Birth Rate since last Census (Avg Annual Rate per 1000)",25.3,23.6,23.0,23.3,22.1,21.1,22.2,23.6,22.8,23.0,24.0,23.1,22.7,22.2,19.5,16.1,14.4,15.1,15.8,17.4
" ","Death Rate since last Census (Avg Annual Rate per 1000)",21.1,20.7,20.4,19.0,17.4,14.8,14.4,12.8,11.1,10.9,10.5,9.9,9.2,8.5,8.2,7.9,7.8,7.4,6.3,5.8
" ","Rate of Natural Increase since last Census (Avg Annual Rate per 1000)",4.3,2.9,2.5,4.4,4.7,6.4,7.8,10.7,11.7,12.1,13.5,13.2,13.5,13.7,11.3,8.2,6.6,7.7,21.5,11.6
" ","Rate of Change in Population since last Census (Avg Annual Rate per 1000)",-4.6,-7.4,-3.3,0.8,-0.7,6.0,4.9,8.5,0.4,-1.0,12.0,11.5,18.9,13.2,6.8,0.9,6.7,15.0,9.5,17.5
