"Period Life Expectancy at Various Ages (Years) by Sex, Age and Year"

" "," ","1871","1882","1891","1901","1911","1926","1936","1941","1946","1951","1961","1966","1971","1979","1981","1986","1991","1996","2002","2006","2011"
"Male"
" ","Birth",49.6,49.4,49.1,49.3,53.6,57.4,58.2,59.0,60.5,64.5,68.1,68.6,68.8,69.5,70.1,71.0,72.3,73.0,75.1,76.8,78.4
" ","5 years",..,..,..,..,..,59.5,60.1,60.7,61.5,63.6,65.7,65.7,65.5,65.7,66.1,66.8,68.0,68.6,70.7,72.2,73.7
" ","10 years",..,..,..,..,..,55.2,55.8,56.3,56.9,58.8,60.8,60.8,60.6,60.8,61.3,61.9,63.1,63.6,65.7,67.2,68.8
" ","15 years",46.8,46.0,45.8,46.2,49.2,50.7,51.2,51.6,52.2,54.0,56.0,56.0,55.7,55.9,56.4,57.0,58.2,58.7,60.8,62.3,63.8
" ","20 years",..,..,..,..,..,46.4,46.8,47.2,47.8,49.3,51.1,51.2,51.0,51.1,51.6,52.2,53.4,53.9,56.0,57.5,58.9
" ","25 years",39.0,38.1,37.8,38.2,41.0,42.4,42.7,43.1,43.5,44.8,46.4,46.4,46.3,46.4,46.9,47.4,48.6,49.3,51.3,52.8,54.2
" ","35 years",31.8,30.7,30.6,31.0,33.5,34.4,34.4,34.8,34.9,35.8,37.0,36.9,36.8,36.9,37.3,37.9,39.2,39.8,41.8,43.3,44.6
" ","45 years",24.4,23.4,23.4,23.8,25.9,26.5,26.3,26.5,26.4,27.0,27.8,27.7,27.6,27.7,28.1,28.5,29.7,30.4,32.3,33.8,35.2
" ","55 years",17.5,16.7,16.5,16.9,18.9,19.1,18.8,18.8,18.6,19.0,19.5,19.3,19.3,19.3,19.6,19.8,20.9,21.5,23.4,24.8,26.1
" ","65 years",11.1,10.8,10.5,10.8,13.0,12.8,12.5,12.3,12.0,12.1,12.6,12.4,12.4,12.4,12.6,12.6,13.4,13.8,15.4,16.6,17.7
" ","75 years",6.5,6.3,5.8,5.8,8.0,7.7,7.9,7.3,6.9,6.8,7.1,7.3,7.3,7.1,7.3,7.3,7.8,8.0,8.9,9.8,10.6
"Female"
" ","Birth",50.9,49.9,49.2,49.6,54.1,57.9,59.6,61.0,62.4,67.1,71.9,72.9,73.5,75.0,75.6,76.7,77.9,78.5,80.3,81.6,82.8
" ","5 years",..,..,..,..,..,59.2,60.4,61.4,62.5,65.4,69.0,69.6,70.0,71.0,71.5,72.4,73.5,74.1,75.7,76.9,78.1
" ","10 years",..,..,..,..,..,54.9,56.1,56.9,57.9,60.6,64.1,64.8,65.1,66.1,66.6,67.5,68.6,69.1,70.8,72.0,73.1
" ","15 years",47.7,46.2,45.5,46.2,49.4,50.5,51.6,52.4,53.2,55.8,59.2,59.8,60.2,61.1,61.7,62.5,63.6,64.2,65.8,67.0,68.1
" ","20 years",..,..,..,..,..,46.4,47.3,48.0,48.8,51.2,54.3,54.9,55.3,56.2,56.8,57.6,58.7,59.3,60.9,62.1,63.2
" ","25 years",39.8,38.3,37.7,38.3,41.4,42.4,43.2,44.0,44.7,46.6,49.5,50.1,50.5,51.4,51.9,52.7,53.8,54.4,56.0,57.2,58.3
" ","35 years",32.4,31.0,30.5,30.9,33.8,34.7,35.2,35.8,36.3,37.7,39.9,40.4,40.8,41.6,42.1,42.9,44.0,44.6,46.2,47.4,48.4
" ","45 years",25.0,23.7,23.2,23.7,26.4,27.0,27.2,27.6,28.0,28.9,30.7,31.1,31.4,32.1,32.6,33.3,34.5,35.0,36.6,37.7,38.8
" ","55 years",17.7,16.7,16.2,16.7,19.2,19.6,19.6,19.8,20.1,20.6,22.1,22.4,22.7,23.3,23.7,24.3,25.4,25.8,27.4,28.5,29.5
" ","65 years",11.2,10.7,10.3,10.6,13.4,13.4,13.1,13.2,13.1,13.3,14.4,14.7,15.0,15.4,15.7,16.2,17.1,17.4,18.7,19.8,20.6
" ","75 years",6.6,6.3,5.9,5.9,8.2,8.4,8.4,8.1,7.7,7.6,8.1,8.4,8.5,8.8,9.1,9.5,10.2,10.4,11.2,12.1,12.7

"Figures are calculated based on a three year period centred on the "
"given year. "

