"Marriages Registered (Number) by Form of Ceremony, Bride and Groom, Age"
"Group and Year"

" "," "," ","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"All ceremonies"
" ","Groom"
" "," ","Under 20 years",135,152,118,116,137,105,121,106,102,107,102,118,84,93,123
" "," ","20 - 24 years",1119,1074,952,1025,1034,902,662,720,623,460,516,490,515,535,399
" "," ","25 - 29 years",7102,6931,6606,6475,6485,6617,6156,5881,5228,4448,4523,4144,4347,4075,3491
" "," ","30 - 34 years",7172,7286,7680,7903,8173,8528,8330,7960,7881,7884,8245,8479,8926,8734,8547
" "," ","35 - 39 years",2790,2929,3117,3145,3457,3705,3781,3745,3668,3687,3896,3926,4349,4544,4811
" "," ","40 - 44 years",1013,1111,1187,1289,1388,1426,1505,1486,1539,1483,1585,1684,1795,1870,1887
" "," ","45 - 49 years",524,494,555,598,592,608,708,731,650,768,766,747,831,901,938
" "," ","50 - 54 years",308,282,351,358,347,379,396,442,391,424,452,444,494,524,532
" "," ","55 - 59 years",173,184,206,209,235,218,253,263,224,284,258,281,320,329,368
" "," ","60 years and over",191,202,196,232,240,264,275,293,288,310,370,367,384,420,474
" "," ","Age not stated",29,0,11,5,1,4,..,..,..,0,..,0,0,0,0
" "," ","All ages",20556,20645,20979,21355,22089,22756,22187,21627,20594,19855,20713,20680,22045,22025,21570
" ","Bride"
" "," ","Under 20 years",251,269,233,246,320,252,208,275,282,209,237,231,246,238,178
" "," ","20 - 24 years",2409,2231,2000,2052,1891,1784,1507,1556,1183,966,968,894,968,890,613
" "," ","25 - 29 years",8810,8791,8577,8481,8608,8975,8445,7794,7184,6467,6485,6071,6323,5985,5450
" "," ","30 - 34 years",5798,6057,6611,6733,7083,7379,7456,7320,7448,7470,8016,8212,8715,8905,8800
" "," ","35 - 39 years",1920,1909,2038,2208,2451,2583,2648,2612,2590,2689,2827,3032,3261,3315,3666
" "," ","40 - 44 years",670,706,763,780,848,865,932,1016,948,998,995,1053,1190,1283,1338
" "," ","45 - 49 years",317,319,362,404,425,450,490,510,444,514,542,546,581,656,663
" "," ","50 - 54 years",168,194,198,223,255,242,259,280,276,278,340,303,372,352,410
" "," ","55 - 59 years",106,96,95,120,108,129,150,133,124,142,168,179,234,208,210
" "," ","60 years and over",71,73,82,95,98,96,92,131,115,122,135,159,155,193,242
" "," ","Age not stated",36,0,20,13,2,1,..,..,..,0,..,0,0,0,0
" "," ","All ages",20556,20645,20979,21355,22089,22756,22187,21627,20594,19855,20713,20680,22045,22025,21570
"Roman Catholic"
" ","Groom"
" "," ","Under 20 years",78,79,74,76,100,83,100,83,88,100,90,110,76,86,117
" "," ","20 - 24 years",748,663,589,554,486,455,363,291,271,210,269,215,171,186,181
" "," ","25 - 29 years",6036,5861,5600,5346,5285,5326,4914,4320,3835,3251,3160,2739,2756,2453,2152
" "," ","30 - 34 years",6016,6146,6394,6544,6749,7105,6809,6258,6045,5989,6159,6127,6184,5826,5613
" "," ","35 - 39 years",2054,2086,2280,2276,2478,2695,2677,2542,2445,2442,2619,2486,2687,2615,2772
" "," ","40 - 44 years",576,584,649,697,737,786,743,740,755,736,786,833,789,853,848
" "," ","45 - 49 years",191,157,194,183,204,214,209,220,194,254,243,241,239,292,262
" "," ","50 - 54 years",83,71,82,73,67,94,79,70,67,87,78,75,77,92,99
" "," ","55 - 59 years",47,38,45,49,43,35,35,38,36,43,34,35,47,30,46
" "," ","60 years and over",71,89,62,64,61,60,49,62,45,44,59,60,46,53,50
" "," ","Age not stated",8,0,9,5,1,1,..,..,..,0,..,0,0,0,0
" "," ","All ages",15908,15774,15978,15867,16211,16854,15978,14624,13781,13156,13497,12921,13072,12486,12140
" ","Bride"
" "," ","Under 20 years",134,149,134,126,163,136,126,130,135,142,144,144,109,127,154
