"Annual Rate of Population Increase by Sex, Province or County,"
"statistical indicator and Census Year"

" "," "," ","1841","1851","1861","1871","1881","1891","1901","1911","1926","1936","1946","1951","1956","1961","1966","1971","1979","1981","1986","1991","1996","2002","2006","2011"
"Both sexes"
" ","State"
" "," ","Population (Number)",6528799,5111557,4402111,4053187,3870020,3468694,3221823,3139688,2971992,2968420,2955107,2960593,2898264,2818341,2884002,2978248,3368217,3443405,3540643,3525719,3626087,3917203,4239848,4588252
" "," ","Population Change since previous Census (Number)",..,-1417242,-709446,-348924,-183167,-401326,-246871,-82135,-167696,-3572,-13313,5486,-62329,-79923,65661,94246,389969,75188,97238,-14924,100368,291116,322645,348404
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-24.2,-14.8,-8.2,-4.6,-10.9,-7.4,-2.6,-3.7,-0.1,-0.4,0.4,-4.2,-5.6,4.6,6.5,15.5,11.1,5.6,-0.8,5.6,13.0,20.0,15.9
" ","Leinster"
" "," ","Population (Number)",1973731,1672738,1457635,1339451,1278989,1187760,1152829,1162044,1149092,1220411,1281117,1336576,1338942,1332149,1414415,1498140,1743861,1790521,1852649,1860949,1924702,2105579,2295123,2504814
" "," ","Population Change since previous Census (Number)",..,-300993,-215103,-118184,-60462,-91229,-34931,9215,-12952,71319,60706,55459,2366,-6793,82266,83725,245721,46660,62128,8300,63753,180877,189544,209691
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-16.4,-13.7,-8.4,-4.6,-7.4,-3.0,0.8,-0.7,6.0,4.9,8.5,0.4,-1.0,12.1,11.6,19.2,13.3,6.8,0.9,6.8,15.1,21.8,17.6
" ","Carlow"
" "," ","Population (Number)",86228,68078,57137,51650,46568,40936,37748,36252,34476,34452,34081,34162,33888,33342,33593,34237,38668,39820,40988,40942,41616,46014,50349,54612
" "," ","Population Change since previous Census (Number)",..,-18150,-10941,-5487,-5082,-5632,-3188,-1496,-1776,-24,-371,81,-274,-546,251,644,4431,1152,1168,-46,674,4398,4335,4263
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-23.4,-17.4,-10.0,-10.3,-12.8,-8.1,-4.0,-3.3,-0.1,-1.1,0.5,-1.6,-3.2,1.5,3.8,15.3,14.8,5.8,-0.2,3.3,16.9,22.8,16.4
" ","Dublin"
" "," ","Population (Number)",372773,405147,410252,405262,418910,419216,448206,477196,505654,586925,636193,693022,705781,718332,795047,852219,983683,1003164,1021449,1025304,1058264,1122821,1187176,1273069
" "," ","Population Change since previous Census (Number)",..,32374,5105,-4990,13648,306,28990,28990,28458,81271,49268,56829,12759,12551,76715,57172,131464,19481,18285,3855,32960,64557,64355,85893
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,8.4,1.3,-1.2,3.3,0.1,6.7,6.3,3.9,15.0,8.1,17.3,3.7,3.5,20.5,14.0,18.1,9.9,3.6,0.8,6.3,9.9,14.0,14.1
" ","Kildare"
" "," ","Population (Number)",114488,95723,90946,83614,75804,70206,63566,66627,58028,57892,64849,66437,65915,64420,66404,71977,97185,104122,116247,122656,134992,163944,186335,210312
" "," ","Population Change since previous Census (Number)",..,-18765,-4777,-7332,-7810,-5598,-6640,3061,-8599,-136,6957,1588,-522,-1495,1984,5573,25208,6937,12125,6409,12336,28952,22391,23977
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-17.7,-5.1,-8.4,-9.8,-7.6,-9.9,4.7,-9.2,-0.2,11.4,4.9,-1.6,-4.6,6.1,16.2,38.2,35.1,22.3,10.8,19.4,32.9,32.5,24.5
" ","Kilkenny"
" "," ","Population (Number)",202420,158748,124515,109379,99531,87261,79159,74962,70990,68614,66712,65235,64089,61668,60463,61473,69156,70806,73186,73635,75336,80339,87558,95419
" "," ","Population Change since previous Census (Number)",..,-43672,-34233,-15136,-9848,-12270,-8102,-4197,-3972,-2376,-1902,-1477,-1146,-2421,-1205,1010,7683,1650,2380,449,1701,5003,7219,7861
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-24.0,-24.0,-12.9,-9.4,-13.1,-9.7,-5.4,-3.6,-3.4,-2.8,-4.5,-3.5,-7.7,-3.9,3.3,14.8,11.9,6.6,1.2,4.6,10.8,21.7,17.3
" ","Laois"
" "," ","Population (Number)",153930,111664,90650,79771,73124,64883,57417,54629,51540,50109,49697,48430,47087,45069,44595,45259,49936,51171,53284,52314,52945,58774,67059,80559
" "," ","Population Change since previous Census (Number)",..,-42266,-21014,-10879,-6647,-8241,-7466,-2788,-3089,-1431,-412,-1267,-1343,-2018,-474,664,4677,1235,2113,-970,631,5829,8285,13500
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-31.6,-20.6,-12.7,-8.7,-11.9,-12.2,-5.0,-3.9,-2.8,-0.8,-5.2,-5.6,-8.7,-2.1,3.0,12.4,12.3,8.1,-3.7,2.4,17.6,33.5,37.4
" ","Longford"
" "," ","Population (Number)",115491,82348,71694,64501,61009,52647,46672,43820,39847,37847,36218,34553,32969,30643,28989,28250,30785,31140,31496,30296,30166,31068,34391,39000
" "," ","Population Change since previous Census (Number)",..,-33143,-10654,-7193,-3492,-8362,-5975,-2852,-3973,-2000,-1629,-1665,-1584,-2326,-1654,-739,2535,355,356,-1200,-130,902,3323,4609
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-33.3,-13.8,-10.5,-5.6,-14.6,-12.0,-6.3,-6.3,-5.1,-4.4,-9.4,-9.3,-14.5,-11.0,-5.2,10.8,5.7,2.3,-7.7,-0.9,4.9,25.7,25.5
" ","Louth"
" "," ","Population (Number)",128240,107662,90713,84021,77684,71038,65820,63665,62739,64339,66194,68771,69194,67378,69519,74951,86135,88514,91810,90724,92166,101821,111267,122897
" "," ","Population Change since previous Census (Number)",..,-20578,-16949,-6692,-6337,-6646,-5218,-2155,-926,1600,1855,2577,423,-1816,2141,5432,11184,2379,3296,-1086,1442,9655,9446,11630
